Time,receiving-addresses-btc-24h
2010-09-05 00:00:00+00:00,189
2010-09-06 00:00:00+00:00,151
2010-09-07 00:00:00+00:00,130
2010-09-08 00:00:00+00:00,222
2010-09-09 00:00:00+00:00,227
2010-09-10 00:00:00+00:00,217
2010-09-11 00:00:00+00:00,170
2010-09-12 00:00:00+00:00,248
2010-09-13 00:00:00+00:00,341
2010-09-14 00:00:00+00:00,256
2010-09-15 00:00:00+00:00,315
2010-09-16 00:00:00+00:00,206
2010-09-17 00:00:00+00:00,166
2010-09-18 00:00:00+00:00,173
2010-09-19 00:00:00+00:00,179
2010-09-20 00:00:00+00:00,322
2010-09-21 00:00:00+00:00,796
2010-09-22 00:00:00+00:00,671
2010-09-23 00:00:00+00:00,490
2010-09-24 00:00:00+00:00,343
2010-09-25 00:00:00+00:00,394
2010-09-26 00:00:00+00:00,229
2010-09-27 00:00:00+00:00,463
2010-09-28 00:00:00+00:00,279
2010-09-29 00:00:00+00:00,807
2010-09-30 00:00:00+00:00,310
2010-10-01 00:00:00+00:00,518
2010-10-02 00:00:00+00:00,502
2010-10-03 00:00:00+00:00,366
2010-10-04 00:00:00+00:00,358
2010-10-05 00:00:00+00:00,364
2010-10-06 00:00:00+00:00,312
2010-10-07 00:00:00+00:00,247
2010-10-08 00:00:00+00:00,299
2010-10-09 00:00:00+00:00,325
2010-10-10 00:00:00+00:00,272
2010-10-11 00:00:00+00:00,264
2010-10-12 00:00:00+00:00,292
2010-10-13 00:00:00+00:00,280
2010-10-14 00:00:00+00:00,238
2010-10-15 00:00:00+00:00,225
2010-10-16 00:00:00+00:00,253
2010-10-17 00:00:00+00:00,270
2010-10-18 00:00:00+00:00,463
2010-10-19 00:00:00+00:00,940
2010-10-20 00:00:00+00:00,647
2010-10-21 00:00:00+00:00,510
2010-10-22 00:00:00+00:00,609
2010-10-23 00:00:00+00:00,495
2010-10-24 00:00:00+00:00,466
2010-10-25 00:00:00+00:00,314
2010-10-26 00:00:00+00:00,442
2010-10-27 00:00:00+00:00,556
2010-10-28 00:00:00+00:00,425
2010-10-29 00:00:00+00:00,319
2010-10-30 00:00:00+00:00,211
2010-10-31 00:00:00+00:00,166
2010-11-01 00:00:00+00:00,221
2010-11-02 00:00:00+00:00,146
2010-11-03 00:00:00+00:00,216
2010-11-04 00:00:00+00:00,177
2010-11-05 00:00:00+00:00,271
2010-11-06 00:00:00+00:00,229
2010-11-07 00:00:00+00:00,245
2010-11-08 00:00:00+00:00,297
2010-11-09 00:00:00+00:00,229
2010-11-10 00:00:00+00:00,256
2010-11-11 00:00:00+00:00,223
2010-11-12 00:00:00+00:00,145
2010-11-13 00:00:00+00:00,150
2010-11-14 00:00:00+00:00,202
2010-11-15 00:00:00+00:00,4010
2010-11-16 00:00:00+00:00,2878
2010-11-17 00:00:00+00:00,249
2010-11-18 00:00:00+00:00,212
2010-11-19 00:00:00+00:00,252
2010-11-20 00:00:00+00:00,529
2010-11-21 00:00:00+00:00,438
2010-11-22 00:00:00+00:00,255
2010-11-23 00:00:00+00:00,271
2010-11-24 00:00:00+00:00,444
2010-11-25 00:00:00+00:00,489
2010-11-26 00:00:00+00:00,761
2010-11-27 00:00:00+00:00,384
2010-11-28 00:00:00+00:00,370
2010-11-29 00:00:00+00:00,335
2010-11-30 00:00:00+00:00,375
2010-12-01 00:00:00+00:00,513
2010-12-02 00:00:00+00:00,369
2010-12-03 00:00:00+00:00,292
2010-12-04 00:00:00+00:00,287
2010-12-05 00:00:00+00:00,292
2010-12-06 00:00:00+00:00,323
2010-12-07 00:00:00+00:00,506
2010-12-08 00:00:00+00:00,436
2010-12-09 00:00:00+00:00,376
2010-12-10 00:00:00+00:00,354
2010-12-11 00:00:00+00:00,603
