Time,total-addresses-btc-24h
2010-10-10 00:00:00+00:00,125005
2010-10-11 00:00:00+00:00,125381
2010-10-12 00:00:00+00:00,125783
2010-10-13 00:00:00+00:00,126188
2010-10-14 00:00:00+00:00,126586
2010-10-15 00:00:00+00:00,126948
2010-10-16 00:00:00+00:00,127425
2010-10-17 00:00:00+00:00,127924
2010-10-18 00:00:00+00:00,128567
2010-10-19 00:00:00+00:00,129525
2010-10-20 00:00:00+00:00,130253
2010-10-21 00:00:00+00:00,130810
2010-10-22 00:00:00+00:00,131401
2010-10-23 00:00:00+00:00,131919
2010-10-24 00:00:00+00:00,132449
2010-10-25 00:00:00+00:00,132918
2010-10-26 00:00:00+00:00,133539
2010-10-27 00:00:00+00:00,134205
2010-10-28 00:00:00+00:00,134751
2010-10-29 00:00:00+00:00,135225
2010-10-30 00:00:00+00:00,135649
2010-10-31 00:00:00+00:00,135951
2010-11-01 00:00:00+00:00,136298
2010-11-02 00:00:00+00:00,136592
2010-11-03 00:00:00+00:00,136948
2010-11-04 00:00:00+00:00,137289
2010-11-05 00:00:00+00:00,137717
2010-11-06 00:00:00+00:00,138121
2010-11-07 00:00:00+00:00,138542
2010-11-08 00:00:00+00:00,139059
2010-11-09 00:00:00+00:00,139459
2010-11-10 00:00:00+00:00,139868
2010-11-11 00:00:00+00:00,140260
2010-11-12 00:00:00+00:00,140541
2010-11-13 00:00:00+00:00,140874
2010-11-14 00:00:00+00:00,141291
2010-11-15 00:00:00+00:00,145455
2010-11-16 00:00:00+00:00,148485
2010-11-17 00:00:00+00:00,148935
2010-11-18 00:00:00+00:00,149359
2010-11-19 00:00:00+00:00,149713
2010-11-20 00:00:00+00:00,150271
2010-11-21 00:00:00+00:00,150780
2010-11-22 00:00:00+00:00,151154
2010-11-23 00:00:00+00:00,151523
2010-11-24 00:00:00+00:00,152075
2010-11-25 00:00:00+00:00,152666
2010-11-26 00:00:00+00:00,153577
2010-11-27 00:00:00+00:00,154098
2010-11-28 00:00:00+00:00,154602
2010-11-29 00:00:00+00:00,155113
2010-11-30 00:00:00+00:00,155638
