ds,yhat,yhat_lower,yhat_upper,trend,trend_lower,trend_upper
2022-01-19,57313.02274945268,54469.20180269691,60256.365411177634,-481095.5012208487,-481507.800529843,-480810.91227144905
2022-01-20,56616.26290893735,54034.504144306804,59368.7666664134,-481397.29293117445,-481835.48821487784,-481104.39684698655
2022-01-21,54845.65767312836,52050.20626748747,57650.173988549264,-481699.08464150067,-482157.68840561796,-481380.65757960593
2022-01-22,53413.80369540054,50543.39500486147,56427.89367799791,-482000.8763518264,-482485.11515803426,-481657.8379933322
2022-01-23,56976.68112986215,53990.108897545375,59807.08602695521,-482302.66806215217,-482809.7674685998,-481940.45288442535
2022-01-24,54611.86334096867,51636.69562942475,57283.762050098,-482604.4597724784,-483132.7343356111,-482215.32056657266
2022-01-25,54573.48568265588,51656.701338870495,57645.103811814064,-482906.25148280413,-483456.24706059083,-482491.272825415
2022-01-26,53553.998566413706,50651.69914909609,56279.735639424056,-483208.0431931301,-483785.94909946364,-482755.4685869983
2022-01-27,50891.79061769735,48067.02508641634,53808.18843384358,-483509.83490345586,-484103.2550311386,-483027.3822143359
2022-01-28,50488.45618047676,47646.25563540146,53346.4991488189,-483811.62661378185,-484418.26263570687,-483312.8989097529
2022-01-29,50678.5906923468,47712.31098673214,53602.54125130741,-484113.41832410777,-484746.28747498465,-483607.8671667809
2022-01-30,48218.797634859686,45020.32147608745,50888.807868686665,-484415.2100344335,-485058.0814699994,-483902.8540275038
2022-01-31,44910.39857263374,41935.237754706395,47471.50508013731,-484717.00174475973,-485368.23958270287,-484194.50627940125
2022-02-01,44467.81396501465,41628.54420749363,47290.53485857652,-485018.7934550855,-485686.4460656548,-484470.81624575646
2022-02-02,44445.05389771063,41320.686544231234,47122.77981149137,-485320.58516541123,-486002.60361840884,-484763.7069148308
2022-02-03,44639.759952734224,41735.02244265127,47608.522280215875,-485622.37687573745,-486326.4717954498,-485057.0526472771
2022-02-04,40861.062406917335,37676.8639695202,43544.325976684,-485924.1685860632,-486653.7445311414,-485351.7208100205
2022-02-05,41110.791675825254,37983.63104585532,44001.53617124657,-486225.9602963892,-486969.3530375826,-485597.60073748947
2022-02-06,39306.737802362186,36389.091764949786,42130.72150088586,-486527.75200671493,-487297.87741713447,-485883.1879880252
2022-02-07,37983.76823258074,34827.706821019725,40902.915519447364,-486829.5437170409,-487650.39654232573,-486162.7587227865
2022-02-08,38458.48684717977,35388.304756330406,41297.66667449049,-487131.33542736684,-487969.34302196035,-486428.47561927093
2022-02-09,37032.14320942905,33908.468318078034,39883.68108215486,-487433.1271376926,-488287.9905391139,-486718.60585835634
2022-02-10,35587.03891272872,32592.697043230004,38614.50935255537,-487734.9188480188,-488606.63805626746,-487008.736097442
2022-02-11,33631.11957500252,30754.973784803296,36583.63402197635,-488036.71055834455,-488926.3522505837,-487298.22587721987
